,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
198,Q0.046,120.05950125297964,rep0,0.464,91098,PCA,0.20029044759188988
199,Q0.046,120.05950125297964,rep0,0.464,91098,RandomProjection,0.14189946635099288
200,Q0.046,120.05950125297964,rep0,1.0,196332,VAE,0.696979207563291
201,Q0.046,120.05950125297964,rep0,1.0,196332,PCA,0.2982770771674895
202,Q0.046,120.05950125297964,rep0,1.0,196332,RandomProjection,0.04437508550769599
203,Q0.046,120.05950125297964,rep0,1.0,196332,nanoTxformer,0.1310177097588585
204,Q0.100,258.72894382983924,rep0,0.001,196,VAE,0.5583134471084928
205,Q0.100,258.72894382983924,rep0,0.001,196,PCA,0.6457126393624574
206,Q0.100,258.72894382983924,rep0,0.001,196,RandomProjection,0.1858796449367937
207,Q0.100,258.72894382983924,rep0,0.001,196,nanoTxformer,0.09842939225082246
208,Q0.100,258.72894382983924,rep0,0.002,392,VAE,0.6333236555133739
209,Q0.100,258.72894382983924,rep0,0.002,392,PCA,0.6589195613685581
210,Q0.100,258.72894382983924,rep0,0.002,392,RandomProjection,0.21575816193715103
211,Q0.100,258.72894382983924,rep0,0.005,981,VAE,0.7064460893423959
212,Q0.100,258.72894382983924,rep0,0.005,981,PCA,0.6085822743805789
213,Q0.100,258.72894382983924,rep0,0.005,981,RandomProjection,0.18283628495966237
214,Q0.100,258.72894382983924,rep0,0.01,1963,VAE,0.7519756071151621
215,Q0.100,258.72894382983924,rep0,0.01,1963,PCA,0.6832959726561142
216,Q0.100,258.72894382983924,rep0,0.01,1963,RandomProjection,0.17635586378202348
217,Q0.100,258.72894382983924,rep0,0.01,1963,nanoTxformer,0.17615861262159546
218,Q0.100,258.72894382983924,rep0,0.022,4319,VAE,0.9096346814662543
219,Q0.100,258.72894382983924,rep0,0.022,4319,PCA,0.6887656654101586
220,Q0.100,258.72894382983924,rep0,0.022,4319,RandomProjection,0.15212743516327265
221,Q0.100,258.72894382983924,rep0,0.046,9031,VAE,1.0338749915042642
222,Q0.100,258.72894382983924,rep0,0.046,9031,PCA,0.711869614354813
223,Q0.100,258.72894382983924,rep0,0.046,9031,RandomProjection,0.11821259289752137
224,Q0.100,258.72894382983924,rep0,0.1,19633,VAE,1.0056192621805273
225,Q0.100,258.72894382983924,rep0,0.1,19633,PCA,0.6367768443209187
226,Q0.100,258.72894382983924,rep0,0.1,19633,RandomProjection,0.1734245869897312
